	name	P(score>  0.99)	P(score>  0.95)	P(score>  0.90)	P(score>  0.85)	P(score>  0.80)
0	DOC#0	0.0	0.0	0.0	0.0	0.008
1	DOC#1	0.119	0.67	0.971	0.998	1.0
2	DOC#3	0.161	0.776	0.992	1.0	1.0
3	DOC#4	0.0	0.222	0.628	0.91	0.998
4	DOC#5	0.178	0.68	0.967	0.999	1.0
5	DOC#6	0.22	0.701	0.96	0.999	1.0
6	DOC#7	0.387	0.851	0.986	0.998	1.0
7	DOC#9	0.225	0.708	0.966	1.0	1.0
8	DOC#10	0.0	0.0	0.0	0.0	0.0
9	DOC#11	0.0	0.0	0.0	0.55	0.982
10	DOC#12	0.0	0.193	0.692	0.963	0.998
11	DOC#13	0.234	0.704	0.962	1.0	1.0
12	DOC#14	0.0	0.0	0.0	0.0	0.0
13	DOC#15	0.0	0.0	0.0	0.24	0.648
14	DOC#16	0.0	0.0	0.0	0.0	0.0
15	DOC#17	0.0	0.0	0.0	0.001	0.021
16	DOC#19	0.209	0.672	0.948	0.997	1.0
17	DOC#20	0.409	0.838	0.988	1.0	1.0
18	DOC#21	0.0	0.0	0.0	0.0	0.0
19	DOC#22	0.0	0.005	0.059	0.313	0.667
20	DOC#23	0.0	0.0	0.0	0.0	0.05
21	DOC#25	0.0	0.0	0.0	0.0	0.101
22	DOC#28	0.0	0.0	0.0	0.02	0.143
23	DOC#29	0.0	0.0	0.342	0.889	1.0
24	DOC#30	0.0	0.728	0.986	1.0	1.0
25	DOC#31	0.0	0.0	0.0	0.055	0.397
26	DOC#32	0.0	0.0	0.0	0.0	0.0
27	DOC#33	0.0	0.0	0.0	0.0	0.0
28	DOC#34	0.0	0.0	0.284	0.673	0.926
29	DOC#35	0.0	0.0	0.04	0.256	0.466
30	DOC#36	0.0	0.153	0.342	0.653	0.918
31	DOC#37	0.227	0.676	0.954	0.999	1.0
32	DOC#38	0.0	0.0	0.0	0.0	0.0
33	DOC#39	0.0	0.0	0.0	0.0	0.0
34	DOC#41	0.0	0.0	0.0	0.0	0.342
35	DOC#42	0.0	0.0	0.265	0.827	0.997
36	DOC#43	0.17	0.83	0.99	0.999	1.0
37	DOC#44	0.412	0.872	0.993	1.0	1.0
38	DOC#45	0.398	0.862	0.996	1.0	1.0
39	DOC#47	0.0	0.002	0.113	0.404	0.748
40	DOC#48	0.399	0.847	0.988	0.999	1.0
41	DOC#49	0.0	0.0	0.0	0.112	0.23
42	DOC#51	0.0	0.0	0.0	0.0	0.001
43	DOC#52	0.0	0.509	0.97	1.0	1.0
44	DOC#53	0.252	0.711	0.951	0.999	1.0
45	DOC#54	0.0	0.0	0.0	0.0	0.0
46	DOC#55	0.0	0.0	0.0	0.061	0.423
47	DOC#57	0.0	0.0	0.0	0.0	0.0
48	DOC#58	0.0	0.0	0.037	0.438	0.768
49	DOC#59	0.0	0.0	0.0	0.001	0.017
50	DOC#60	0.381	0.87	0.992	1.0	1.0
51	DOC#62	0.0	0.428	0.875	0.999	1.0
52	DOC#63	0.0	0.0	0.517	0.956	0.999
53	DOC#64	0.0	0.0	0.0	0.673	0.987
54	DOC#65	0.0	0.0	0.0	0.364	0.815
55	DOC#66	0.0	0.0	0.0	0.095	0.315
56	DOC#68	0.0	0.0	0.029	0.289	0.808
57	DOC#69	0.0	0.0	0.444	0.86	0.989
58	DOC#70	0.0	0.0	0.0	0.0	0.0
59	DOC#71	0.0	0.003	0.061	0.311	0.671
60	DOC#72	0.0	0.0	0.0	0.0	0.029
61	DOC#73	0.0	0.0	0.0	0.066	0.57
62	DOC#74	0.0	0.0	0.0	0.0	0.042
63	DOC#75	0.0	0.0	0.0	0.0	0.0
64	DOC#76	0.657	0.963	1.0	1.0	1.0
65	DOC#79	0.0	0.0	0.0	0.0	0.0
66	DOC#80	0.0	0.0	0.0	0.004	0.035
67	DOC#81	0.14	0.847	0.993	1.0	1.0
68	DOC#82	0.0	0.0	0.805	0.993	1.0
69	DOC#83	0.0	0.064	0.207	0.238	0.241
70	DOC#84	0.0	0.0	0.706	0.982	1.0
71	DOC#85	0.0	0.0	0.0	0.005	0.094
72	DOC#86	0.372	0.849	0.993	1.0	1.0
73	DOC#87	0.0	0.0	0.022	0.164	0.466
74	DOC#88	0.0	0.0	0.609	0.967	1.0
75	DOC#89	0.0	0.0	0.0	0.0	0.0
76	DOC#90	0.0	0.0	0.0	0.0	0.0
77	DOC#91	0.224	0.686	0.949	0.999	1.0
78	DOC#92	0.0	0.0	0.0	0.0	0.0
79	DOC#93	0.642	0.97	1.0	1.0	1.0
80	DOC#94	0.152	0.243	0.63	0.928	0.993
81	DOC#96	0.0	0.348	0.759	0.951	0.995
82	DOC#97	0.0	0.0	0.013	0.089	0.333
83	DOC#98	0.385	0.839	0.991	1.0	1.0
84	DOC#99	0.0	0.006	0.148	0.476	0.796
85	DOC#100	0.0	0.0	0.0	0.002	0.031
86	DOC#101	0.0	0.0	0.0	0.0	0.0
87	DOC#102	0.216	0.683	0.963	0.998	1.0
88	DOC#103	0.0	0.0	0.0	0.092	0.321
89	DOC#104	0.0	0.009	0.129	0.468	0.784
90	DOC#105	0.381	0.843	0.99	1.0	1.0
91	DOC#107	0.0	0.16	0.685	0.954	0.998
92	DOC#108	0.0	0.0	0.0	0.001	0.009
93	DOC#109	0.0	0.13	0.639	0.942	0.992
94	DOC#111	0.0	0.0	0.0	0.022	0.169
95	DOC#112	0.0	0.0	0.054	0.365	0.766
96	DOC#113	0.0	0.0	0.0	0.0	0.0
97	DOC#114	0.0	0.0	0.166	0.338	0.483
98	DOC#115	0.0	0.0	0.0	0.0	0.0
99	DOC#116	0.0	0.36	0.888	0.999	1.0
100	DOC#117	0.385	0.839	0.992	1.0	1.0
101	DOC#118	0.0	0.0	0.0	0.0	0.289
102	DOC#119	0.0	0.0	0.0	0.0	0.0
103	DOC#121	0.0	0.161	0.36	0.8	0.973
104	DOC#122	0.0	0.0	0.76	0.994	1.0
105	DOC#123	0.0	0.167	0.711	0.961	0.998
106	DOC#124	0.0	0.0	0.0	0.0	0.0
107	DOC#125	0.0	0.0	0.0	0.0	0.019
108	DOC#126	0.247	0.724	0.967	0.997	1.0
109	DOC#127	0.0	0.126	0.247	0.252	0.256
110	DOC#128	0.0	0.0	0.0	0.0	0.0
111	DOC#129	0.0	0.25	0.766	0.978	0.999
112	DOC#130	0.0	0.0	0.0	0.0	0.034
113	DOC#131	0.0	0.0	0.0	0.0	0.025
114	DOC#132	0.0	0.0	0.0	0.046	0.318
115	DOC#133	0.0	0.0	0.0	0.205	0.474
116	DOC#134	0.0	0.005	0.113	0.45	0.802
117	DOC#135	0.0	0.0	0.012	0.068	0.309
118	DOC#136	0.0	0.231	0.805	0.992	1.0
119	DOC#137	0.247	0.728	0.959	0.999	1.0
120	DOC#138	0.0	0.0	0.287	0.767	0.964
121	DOC#140	0.233	0.698	0.939	0.996	0.999
122	DOC#141	0.0	0.0	0.0	0.0	0.0
123	DOC#143	0.0	0.0	0.071	0.22	0.326
124	DOC#146	0.222	0.682	0.957	0.996	1.0
125	DOC#149	0.0	0.648	0.976	1.0	1.0
126	DOC#150	0.0	0.0	0.792	0.992	1.0
127	DOC#151	0.0	0.0	0.0	0.0	0.119
128	DOC#152	0.0	0.0	0.0	0.0	0.0
129	DOC#153	0.0	0.457	0.927	0.998	1.0
130	DOC#154	0.0	0.0	0.0	0.65	0.982
131	DOC#156	0.0	0.0	0.0	0.003	0.041
132	DOC#157	0.0	0.0	0.0	0.077	0.207
133	DOC#158	0.0	0.0	0.0	0.0	0.0
134	DOC#161	0.0	0.0	0.0	0.0	0.0
135	DOC#162	0.156	0.494	0.912	0.995	1.0
136	DOC#163	0.0	0.342	0.766	0.957	0.999
137	DOC#166	0.0	0.82	0.997	1.0	1.0
138	DOC#167	0.0	0.0	0.0	0.0	0.0
139	DOC#169	0.0	0.0	0.0	0.0	0.099
140	DOC#172	0.0	0.0	0.0	0.0	0.0
141	DOC#173	0.0	0.0	0.0	0.0	0.0
142	DOC#174	0.395	0.847	0.993	1.0	1.0
143	DOC#175	0.0	0.0	0.0	0.0	0.0
144	DOC#176	0.0	0.0	0.512	0.939	1.0
145	DOC#178	0.227	0.676	0.961	0.998	1.0
146	DOC#179	0.224	0.683	0.952	0.997	0.999
147	DOC#182	0.0	0.0	0.0	0.0	0.0
148	DOC#183	0.0	0.0	0.0	0.0	0.0
149	DOC#184	0.61	0.966	1.0	1.0	1.0
150	DOC#185	0.0	0.0	0.0	0.0	0.0
151	DOC#186	0.245	0.725	0.964	0.998	1.0
152	DOC#187	0.0	0.0	0.0	0.0	0.0
153	DOC#188	0.645	0.968	1.0	1.0	1.0
154	DOC#189	0.0	0.0	0.0	0.0	0.0
155	DOC#190	0.0	0.0	0.0	0.0	0.001
156	DOC#191	0.398	0.828	0.984	0.999	1.0
157	DOC#193	0.0	0.003	0.102	0.422	0.786
158	DOC#194	0.0	0.0	0.093	0.473	0.822
159	DOC#195	0.234	0.691	0.961	0.997	1.0
160	DOC#196	0.0	0.0	0.0	0.0	0.0
161	DOC#197	0.0	0.0	0.0	0.0	0.013
162	DOC#198	0.0	0.0	0.0	0.0	0.0
163	DOC#200	0.0	0.0	0.0	0.0	0.012
164	DOC#201	0.0	0.001	0.109	0.424	0.781
165	DOC#202	0.0	0.0	0.0	0.0	0.0
166	DOC#203	0.0	0.0	0.0	0.0	0.0
167	DOC#204	0.0	0.0	0.0	0.302	0.878
168	DOC#205	0.0	0.0	0.0	0.0	0.0
169	DOC#206	0.0	0.0	0.014	0.235	0.676
170	DOC#208	0.0	0.0	0.0	0.0	0.0
171	DOC#212	0.0	0.0	0.0	0.141	0.559
172	DOC#213	0.0	0.0	0.0	0.0	0.031
173	DOC#214	0.225	0.691	0.957	0.998	1.0
174	DOC#215	0.0	0.0	0.102	0.443	0.743
175	DOC#217	0.0	0.0	0.226	0.601	0.889
176	DOC#218	0.0	0.641	0.976	1.0	1.0
177	DOC#219	0.519	0.903	0.995	1.0	1.0
178	DOC#220	0.0	0.0	0.0	0.0	0.087
179	DOC#221	0.0	0.094	0.357	0.791	0.981
180	DOC#223	0.0	0.0	0.0	0.0	0.0
181	DOC#224	0.0	0.0	0.0	0.0	0.0
182	DOC#225	0.0	0.0	0.0	0.0	0.0
183	DOC#228	0.0	0.0	0.0	0.106	0.331
184	DOC#229	0.0	0.021	0.353	0.63	0.922
185	DOC#230	0.0	0.0	0.452	0.925	0.997
186	DOC#231	0.0	0.0	0.0	0.0	0.0
187	DOC#232	0.0	0.0	0.001	0.084	0.421
188	DOC#233	0.39	0.857	0.992	1.0	1.0
189	DOC#237	0.0	0.0	0.0	0.0	0.0
190	DOC#241	0.0	0.0	0.0	0.0	0.007
191	DOC#242	0.0	0.0	0.101	0.449	0.85
192	DOC#243	0.174	0.701	0.964	0.999	1.0
193	DOC#244	0.0	0.0	0.0	0.0	0.07
194	DOC#245	0.0	0.0	0.0	0.008	0.072
195	DOC#246	0.0	0.0	0.0	0.0	0.0
196	DOC#247	0.0	0.0	0.0	0.262	0.812
197	DOC#248	0.0	0.0	0.0	0.0	0.0
198	DOC#249	0.0	0.047	0.436	0.832	0.976
199	DOC#250	0.0	0.0	0.0	0.0	0.0
200	DOC#251	0.271	0.751	0.972	0.999	1.0
201	DOC#252	0.0	0.0	0.039	0.246	0.592
202	DOC#253	0.0	0.0	0.0	0.0	0.0
203	DOC#254	0.0	0.0	0.0	0.0	0.0
204	DOC#255	0.0	0.0	0.109	0.325	0.49
205	DOC#256	0.0	0.0	0.008	0.159	0.534
206	DOC#257	0.0	0.417	0.933	0.999	1.0
207	DOC#258	0.0	0.0	0.0	0.0	0.0
208	DOC#259	0.0	0.0	0.0	0.095	0.617
209	DOC#260	0.0	0.0	0.0	0.0	0.0
210	DOC#261	0.0	0.002	0.06	0.294	0.661
211	DOC#262	0.627	0.956	1.0	1.0	1.0
212	DOC#263	0.0	0.0	0.0	0.0	0.56
213	DOC#264	0.0	0.0	0.0	0.0	0.0
214	DOC#265	0.0	0.0	0.0	0.0	0.036
215	DOC#266	0.0	0.0	0.0	0.0	0.0
216	DOC#267	0.0	0.0	0.0	0.0	0.0
217	DOC#268	0.0	0.0	0.0	0.0	0.0
218	DOC#269	0.0	0.0	0.0	0.0	0.0
219	DOC#270	0.0	0.0	0.0	0.232	0.821
220	DOC#271	0.38	0.858	0.99	1.0	1.0
221	DOC#272	0.378	0.855	0.99	1.0	1.0
222	DOC#273	0.0	0.0	0.0	0.331	0.891
223	DOC#274	0.0	0.0	0.232	0.736	0.964
224	DOC#276	0.0	0.0	0.0	0.0	0.0
225	DOC#277	0.0	0.09	0.561	0.91	0.995
226	DOC#278	0.0	0.213	0.236	0.378	0.615
227	DOC#279	0.0	0.155	0.654	0.94	0.997
228	DOC#281	0.0	0.0	0.0	0.0	0.0
229	DOC#282	0.0	0.289	0.79	0.987	1.0
230	DOC#283	0.0	0.0	0.0	0.0	0.001
231	DOC#285	0.0	0.0	0.0	0.0	0.0
232	DOC#286	0.0	0.0	0.0	0.0	0.0
233	DOC#287	0.0	0.0	0.0	0.0	0.0
234	DOC#288	0.0	0.0	0.035	0.255	0.595
235	DOC#289	0.0	0.0	0.0	0.0	0.0
236	DOC#290	0.0	0.006	0.139	0.509	0.811
237	DOC#291	0.0	0.0	0.0	0.0	0.0
238	DOC#292	0.0	0.15	0.689	0.966	0.999
239	DOC#294	0.0	0.0	0.0	0.0	0.0
240	DOC#295	0.0	0.0	0.0	0.0	0.0
241	DOC#296	0.0	0.0	0.0	0.0	0.0
242	DOC#297	0.0	0.0	0.0	0.0	0.133
243	DOC#299	0.0	0.0	0.029	0.15	0.307
244	DOC#300	0.0	0.0	0.0	0.0	0.0
245	DOC#301	0.239	0.728	0.979	0.997	1.0
246	DOC#302	0.208	0.682	0.95	0.999	1.0
247	DOC#303	0.225	0.69	0.953	0.996	1.0
248	DOC#304	0.0	0.0	0.204	0.633	0.9
249	DOC#305	0.0	0.0	0.0	0.0	0.0
250	DOC#306	0.398	0.867	0.994	1.0	1.0
251	DOC#307	0.0	0.0	0.0	0.0	0.0
252	DOC#310	0.655	0.97	1.0	1.0	1.0
253	DOC#311	0.547	0.92	0.997	1.0	1.0
254	DOC#312	0.0	0.0	0.0	0.455	0.941
255	DOC#313	0.0	0.0	0.0	0.0	0.0
256	DOC#314	0.0	0.0	0.0	0.0	0.01
257	DOC#315	0.0	0.0	0.0	0.0	0.0
258	DOC#316	0.378	0.86	0.993	1.0	1.0
259	DOC#317	0.0	0.0	0.08	0.385	0.733
260	DOC#318	0.0	0.0	0.083	0.676	0.949
261	DOC#319	0.0	0.0	0.0	0.0	0.041
262	DOC#320	0.0	0.0	0.0	0.0	0.0
263	DOC#321	0.0	0.0	0.0	0.0	0.0
264	DOC#322	0.0	0.0	0.0	0.011	0.124
265	DOC#323	0.0	0.442	0.931	1.0	1.0
266	DOC#324	0.0	0.0	0.567	0.96	0.998
267	DOC#325	0.0	0.0	0.0	0.0	0.023
268	DOC#327	0.0	0.0	0.0	0.0	0.0
269	DOC#328	0.0	0.0	0.0	0.0	0.0
270	DOC#329	0.0	0.08	0.486	0.859	0.979
271	DOC#330	0.0	0.0	0.0	0.0	0.0
272	DOC#332	0.0	0.0	0.0	0.0	0.0
273	DOC#333	0.0	0.264	0.755	0.965	0.999
274	DOC#334	0.368	0.843	0.987	1.0	1.0
275	DOC#335	0.0	0.0	0.166	0.267	0.393
276	DOC#336	0.0	0.001	0.099	0.399	0.775
277	DOC#337	0.0	0.0	0.0	0.0	0.0
278	DOC#338	0.0	0.0	0.0	0.0	0.001
279	DOC#339	0.0	0.0	0.0	0.0	0.0
280	DOC#340	0.0	0.16	0.591	0.889	0.985
281	DOC#341	0.0	0.0	0.0	0.0	0.023
282	DOC#342	0.0	0.001	0.069	0.29	0.659
283	DOC#343	0.0	0.0	0.368	0.876	0.993
284	DOC#345	0.154	0.649	0.956	1.0	1.0
285	DOC#346	0.0	0.032	0.248	0.665	0.899
286	DOC#347	0.0	0.211	0.742	0.966	0.999
287	DOC#348	0.0	0.185	0.708	0.948	1.0
288	DOC#349	0.0	0.0	0.017	0.21	0.585
289	DOC#350	0.0	0.0	0.106	0.705	0.98
290	DOC#351	0.405	0.858	0.995	1.0	1.0
291	DOC#352	0.0	0.302	0.797	0.986	1.0
292	DOC#353	0.0	0.0	0.0	0.0	0.0
293	DOC#354	0.0	0.28	0.761	0.969	0.998
294	DOC#356	0.227	0.728	0.963	0.996	1.0
295	DOC#357	0.256	0.705	0.967	0.998	1.0
296	DOC#358	0.237	0.707	0.957	0.998	1.0
297	DOC#359	0.0	0.0	0.0	0.0	0.0
298	DOC#360	0.245	0.752	0.974	0.999	1.0
