	address	geoloc	healthgrade_rating	name	ratemds_rating	ucomphealthcare_rating	vitals_rating
0	Orinda, CA 94563	37.8787,-122.1728		DOC#0	4.3		2.5
1	Orinda, CA 94563	37.8787,-122.1728	4.5	DOC#1	4.9	5.0	4.0
2	Orinda, CA 94563	37.8787,-122.1728		DOC#2			
3	Orinda, CA 94563	37.8787,-122.1728		DOC#3		5.0	4.0
4	Orinda, CA 94563	37.8787,-122.1728	4.6	DOC#4	5.0	5.0	4.0
5	Orinda, CA 94563	37.8787,-122.1728	4.2	DOC#5	4.3	5.0	4.0
6	Orinda, CA 94563	37.8787,-122.1728	4.4	DOC#6	5.0	5.0	4.0
7	Orinda, CA 94563	37.8787,-122.1728		DOC#7			4.0
8	Orinda, CA 94563	37.8787,-122.1728		DOC#8			
9	Orinda, CA 94563	37.8787,-122.1728		DOC#9		5.0	4.0
10	Orinda, CA 94563	37.8787,-122.1728	4.6	DOC#10		5.0	
11	Orinda, CA 94563	37.8787,-122.1728		DOC#11		5.0	
12	Orinda, CA 94563	37.8787,-122.1728	3.7	DOC#12		4.0	3.0
13	Orinda, CA 94563	37.8787,-122.1728		DOC#13	4.3	4.0	4.0
14	Orinda, CA 94563	37.8787,-122.1728	4.4	DOC#14			4.0
15	Orinda, CA 94563	37.8787,-122.1728		DOC#15			4.0
16	Orinda, CA 94563	37.8787,-122.1728		DOC#16	2.5	3.0	
17	Orinda, CA 94563	37.8787,-122.1728	4.3	DOC#17	5.0	4.0	3.0
18	Orinda, CA 94563	37.8787,-122.1728		DOC#18			
19	Orinda, CA 94563	37.8787,-122.1728	4.1	DOC#19	3.3	3.0	2.0
20	Orinda, CA 94563	37.8787,-122.1728		DOC#20		4.0	3.0
21	Orinda, CA 94563	37.8787,-122.1728		DOC#21		5.0	4.0
22	Orinda, CA 94563	37.8787,-122.1728		DOC#22			4.0
23	Orinda, CA 94563	37.8787,-122.1728		DOC#23		5.0	4.0
24	Orinda, CA 94563	37.8787,-122.1728		DOC#24			
25	Orinda, CA 94563	37.8787,-122.1728		DOC#25			2.5
26	Orinda, CA 94563	37.8787,-122.1728		DOC#26			
27	Orinda, CA 94563	37.8787,-122.1728		DOC#27			
28	Orinda, CA 94563	37.8787,-122.1728	4.3	DOC#28			
29	Orinda, CA 94563	37.8787,-122.1728	3.1	DOC#29	3.8	5.0	2.0
30	Orinda, CA 94563	37.8787,-122.1728	4.5	DOC#30		5.0	3.0
31	Orinda, CA 94563	37.8787,-122.1728	3.6	DOC#31	4.0	4.0	3.5
32	Orinda, CA 94563	37.8787,-122.1728	4.3	DOC#32		5.0	2.0
33	Orinda, CA 94563	37.8787,-122.1728	4.4	DOC#33	5.0	5.0	2.5
34	Orinda, CA 94563	37.8787,-122.1728	4.3	DOC#34	2.7	4.0	3.5
35	Orinda, CA 94563	37.8787,-122.1728	4.2	DOC#35		5.0	3.5
36	Orinda, CA 94563	37.8787,-122.1728	4.6	DOC#36		5.0	4.0
37	Orinda, CA 94563	37.8787,-122.1728	3.4	DOC#37	4.0	5.0	3.0
38	Orinda, CA 94563	37.8787,-122.1728		DOC#38	5.0		1.0
39	Orinda, CA 94563	37.8787,-122.1728		DOC#39	3.6	2.0	3.0
40	Orinda, CA 94563	37.8787,-122.1728		DOC#40			
41	Orinda, CA 94563	37.8787,-122.1728	3.3	DOC#41		5.0	4.0
42	Orinda, CA 94563	37.8787,-122.1728	4.7	DOC#42	3.2	5.0	3.0
43	Orinda, CA 94563	37.8787,-122.1728	3.5	DOC#43	4.5	5.0	4.0
44	Orinda, CA 94563	37.8787,-122.1728		DOC#44			4.0
45	Orinda, CA 94563	37.8787,-122.1728	3.3	DOC#45		3.0	3.5
46	Orinda, CA 94563	37.8787,-122.1728		DOC#46			
47	Lafayette, CA 94549	37.8961,-122.1119	3.6	DOC#47		3.0	3.0
48	Lafayette, CA 94549	37.8961,-122.1119	4.1	DOC#48	3.2	5.0	3.0
49	Lafayette, CA 94549	37.8961,-122.1119	4.5	DOC#49	4.0	4.0	
50	Lafayette, CA 94549	37.8961,-122.1119		DOC#50			
51	Lafayette, CA 94549	37.8961,-122.1119	4.1	DOC#51		5.0	3.5
52	Lafayette, CA 94549	37.8961,-122.1119	4.7	DOC#52	5.0	5.0	4.0
53	Lafayette, CA 94549	37.8961,-122.1119		DOC#53		5.0	4.0
54	Lafayette, CA 94549	37.8961,-122.1119		DOC#54		5.0	4.0
55	Lafayette, CA 94549	37.8961,-122.1119		DOC#55		5.0	4.0
56	Lafayette, CA 94549	37.8961,-122.1119		DOC#56			
57	Lafayette, CA 94549	37.8961,-122.1119		DOC#57			3.5
58	Lafayette, CA 94549	37.8961,-122.1119		DOC#58		5.0	4.0
59	Lafayette, CA 94549	37.8961,-122.1119	3.7	DOC#59	4.4	1.0	4.0
60	Concord, CA 94520	37.9823,-122.0362		DOC#60	3.7		
61	Lafayette, CA 94549	37.8961,-122.1119		DOC#61			
62	Lafayette, CA 94549	37.8961,-122.1119	3.5	DOC#62			
63	Lafayette, CA 94549	37.8961,-122.1119		DOC#63	5.0	5.0	3.5
64	Lafayette, CA 94549	37.8961,-122.1119	4.9	DOC#64			4.0
65	Lafayette, CA 94549	37.8961,-122.1119		DOC#65	2.5	3.0	2.5
66	Lafayette, CA 94549	37.8961,-122.1119	4.4	DOC#66	4.0	4.0	3.5
67	Lafayette, CA 94549	37.8961,-122.1119		DOC#67			
68	Lafayette, CA 94549	37.8961,-122.1119	4.3	DOC#68	3.5	5.0	
69	Lafayette, CA 94549	37.8961,-122.1119	2.7	DOC#69	1.0	4.0	3.5
70	Lafayette, CA 94549	37.8961,-122.1119	3.9	DOC#70	4.0	5.0	3.5
71	Lafayette, CA 94549	37.8961,-122.1119		DOC#71		4.0	3.0
72	Lafayette, CA 94549	37.8961,-122.1119		DOC#72		5.0	4.0
73	Lafayette, CA 94549	37.8961,-122.1119	2.8	DOC#73			
74	Lafayette, CA 94549	37.8961,-122.1119	4.3	DOC#74	5.0		4.0
75	Lafayette, CA 94549	37.8961,-122.1119		DOC#75	3.8	5.0	4.0
76	Lafayette, CA 94549	37.8961,-122.1119		DOC#76	5.0	4.0	3.5
77	Lafayette, CA 94549	37.8961,-122.1119		DOC#77			
78	Lafayette, CA 94549	37.8961,-122.1119		DOC#78			
79	Lafayette, CA 94549	37.8961,-122.1119	3.5	DOC#79		5.0	3.5
80	Lafayette, CA 94549	37.8961,-122.1119	3.1	DOC#80	4.5	5.0	2.5
81	Lafayette, CA 94549	37.8961,-122.1119	3.8	DOC#81	3.7	5.0	3.5
82	Lafayette, CA 94549	37.8961,-122.1119	4.7	DOC#82	4.3	4.0	3.5
83	Lafayette, CA 94549	37.8961,-122.1119	3.6	DOC#83		5.0	4.0
84	Lafayette, CA 94549	37.8961,-122.1119		DOC#84	2.5	4.0	3.0
85	Lafayette, CA 94549	37.8961,-122.1119	4.3	DOC#85			
86	Lafayette, CA 94549	37.8961,-122.1119	3.9	DOC#86	4.2	4.0	3.0
87	Lafayette, CA 94549	37.8961,-122.1119	4.3	DOC#87	4.4	4.0	
88	Lafayette, CA 94549	37.8961,-122.1119		DOC#88	3.7	4.0	3.5
89	San Francisco, CA 94133	37.8002,-122.4091		DOC#89		4.0	2.5
90	San Francisco, CA 94133	37.8002,-122.4091		DOC#90	5.0	5.0	4.0
91	San Francisco, CA 94133	37.8002,-122.4091	4.3	DOC#91		5.0	4.0
92	San Francisco, CA 94133	37.8002,-122.4091		DOC#92		5.0	4.0
93	San Francisco, CA 94133	37.8002,-122.4091	3.3	DOC#93			
94	San Francisco, CA 94133	37.8002,-122.4091	3.8	DOC#94			
95	San Francisco, CA 94133	37.8002,-122.4091		DOC#95			
96	San Francisco, CA 94133	37.8002,-122.4091	4.7	DOC#96	5.0	5.0	4.0
97	San Francisco, CA 94111	37.7974,-122.4001	4.7	DOC#97		5.0	3.5
98	San Francisco, CA 94111	37.7974,-122.4001	4.1	DOC#98	1.0	5.0	4.0
99	San Francisco, CA 94111	37.7974,-122.4001	3.9	DOC#99		5.0	4.0
100	San Francisco, CA 94111	37.7974,-122.4001	3.9	DOC#100			
101	San Francisco, CA 94111	37.7974,-122.4001		DOC#101		5.0	4.0
102	San Francisco, CA 94111	37.7974,-122.4001	4.2	DOC#102			
103	San Francisco, CA 94111	37.7974,-122.4001	4.5	DOC#103		5.0	3.5
104	San Francisco, CA 94111	37.7974,-122.4001	4.1	DOC#104		4.0	2.5
105	San Francisco, CA 94111	37.7974,-122.4001	2.3	DOC#105			1.0
106	San Francisco, CA 94105	37.7864,-122.3892		DOC#106			
107	San Francisco, CA 94105	37.7864,-122.3892		DOC#107			4.0
108	San Francisco, CA 94111	37.7974,-122.4001		DOC#108		1.0	3.5
109	San Francisco, CA 94111	37.7974,-122.4001		DOC#109	5.0	5.0	4.0
110	San Francisco, CA 94111	37.7974,-122.4001		DOC#110			
111	San Francisco, CA 94111	37.7974,-122.4001	3.7	DOC#111	5.0	5.0	4.0
112	San Francisco, CA 94111	37.7974,-122.4001		DOC#112		5.0	4.0
113	San Francisco, CA 94111	37.7974,-122.4001	4.8	DOC#113			
114	San Francisco, CA 94111	37.7974,-122.4001	4.1	DOC#114			
115	San Francisco, CA 94111	37.7974,-122.4001		DOC#115		5.0	4.0
116	San Francisco, CA 94111	37.7974,-122.4001	4.4	DOC#116			
117	San Francisco, CA 94111	37.7974,-122.4001	3.8	DOC#117			
118	San Francisco, CA 94111	37.7974,-122.4001		DOC#118	3.2	5.0	2.5
119	San Francisco, CA 94111	37.7974,-122.4001		DOC#119			4.0
120	San Francisco, CA 94111	37.7974,-122.4001		DOC#120			
121	San Francisco, CA 94111	37.7974,-122.4001		DOC#121		5.0	2.5
122	San Francisco, CA 94111	37.7974,-122.4001	4.4	DOC#122			
123	San Francisco, CA 94111	37.7974,-122.4001		DOC#123		5.0	4.0
124	San Francisco, CA 94133	37.8002,-122.4091	4.1	DOC#124	5.0		4.0
125	Lafayette, CA 94549	37.8961,-122.1119		DOC#125		5.0	3.5
126	San Francisco, CA 94133	37.8002,-122.4091		DOC#126	3.7		
127	San Francisco, CA 94133	37.8002,-122.4091	4.3	DOC#127		5.0	
128	San Francisco, CA 94133	37.8002,-122.4091	4.9	DOC#128			
129	San Francisco, CA 94133	37.8002,-122.4091		DOC#129	4.0		
130	San Francisco, CA 94133	37.8002,-122.4091	4.7	DOC#130	4.0		
131	San Francisco, CA 94133	37.8002,-122.4091	2.5	DOC#131	4.3	3.0	2.5
132	San Francisco, CA 94133	37.8002,-122.4091	2.8	DOC#132	3.9	5.0	4.0
133	San Francisco, CA 94133	37.8002,-122.4091	4.9	DOC#133	2.5	1.0	
134	San Francisco, CA 94133	37.8002,-122.4091	4.2	DOC#134		5.0	4.0
135	San Francisco, CA 94133	37.8002,-122.4091		DOC#135		5.0	4.0
136	San Francisco, CA 94133	37.8002,-122.4091	4.6	DOC#136		5.0	2.0
137	San Francisco, CA 94133	37.8002,-122.4091	1.8	DOC#137			
138	San Francisco, CA 94133	37.8002,-122.4091	4.8	DOC#138		1.0	
139	San Francisco, CA 94133	37.8002,-122.4091		DOC#139			
140	San Francisco, CA 94133	37.8002,-122.4091	4.5	DOC#140	3.8	5.0	4.0
141	San Francisco, CA 94133	37.8002,-122.4091		DOC#141	4.0	5.0	4.0
142	San Francisco, CA 94133	37.8002,-122.4091		DOC#142			
143	San Francisco, CA 94104	37.7915,-122.4018		DOC#143		5.0	3.5
144	San Francisco, CA 94133	37.8002,-122.4091		DOC#144			
145	San Francisco, CA 94133	37.8002,-122.4091		DOC#145			
146	San Francisco, CA 94133	37.8002,-122.4091		DOC#146		2.0	1.5
147	San Francisco, CA 94133	37.8002,-122.4091		DOC#147			
148	San Francisco, CA 94105	37.7864,-122.3892		DOC#148			
149	San Francisco, CA 94105	37.7864,-122.3892		DOC#149		4.0	3.0
150	San Francisco, CA 94105	37.7864,-122.3892		DOC#150		5.0	
151	San Francisco, CA 94133	37.8002,-122.4091	1.2	DOC#151	5.0	5.0	3.5
152	San Francisco, CA 94104	37.7915,-122.4018	3.8	DOC#152	1.5	2.0	3.5
153	San Francisco, CA 94104	37.7915,-122.4018		DOC#153	4.5		4.0
154	San Francisco, CA 94133	37.8002,-122.4091		DOC#154		5.0	1.5
155	San Francisco, CA 94133	37.8002,-122.4091		DOC#155			
156	San Francisco, CA 94107	37.7621,-122.3971		DOC#156			3.0
157	San Francisco, CA 94107	37.7621,-122.3971	4.5	DOC#157			3.0
158	San Francisco, CA 94133	37.8002,-122.4091	2.3	DOC#158		5.0	4.0
159	San Francisco, CA 94133	37.8002,-122.4091		DOC#159			
160	San Francisco, CA 94104	37.7915,-122.4018		DOC#160			
161	San Francisco, CA 94104	37.7915,-122.4018		DOC#161			3.5
162	San Francisco, CA 94104	37.7915,-122.4018	4.1	DOC#162			
163	San Francisco, CA 94108	37.7929,-122.4079	4.1	DOC#163	5.0		4.0
164	San Francisco, CA 94108	37.7929,-122.4079		DOC#164			
165	San Francisco, CA 94108	37.7929,-122.4079		DOC#165			
166	San Francisco, CA 94108	37.7929,-122.4079		DOC#166		5.0	
167	San Francisco, CA 94108	37.7929,-122.4079		DOC#167	4.0	5.0	
168	San Francisco, CA 94108	37.7929,-122.4079		DOC#168			
169	San Francisco, CA 94108	37.7929,-122.4079		DOC#169		5.0	
170	San Francisco, CA 94108	37.7929,-122.4079		DOC#170			
171	San Francisco, CA 94108	37.7929,-122.4079		DOC#171			
172	San Francisco, CA 94108	37.7929,-122.4079		DOC#172			4.0
173	San Francisco, CA 94108	37.7929,-122.4079	3.7	DOC#173	3.2		2.0
174	San Francisco, CA 94108	37.7929,-122.4079	3.7	DOC#174		5.0	3.0
175	San Francisco, CA 94108	37.7929,-122.4079	2.3	DOC#175	4.2	5.0	3.5
176	San Francisco, CA 94133	37.8002,-122.4091		DOC#176	3.8		
177	San Francisco, CA 94133	37.8002,-122.4091		DOC#177			
178	San Francisco, CA 94133	37.8002,-122.4091	3.3	DOC#178			
179	San Francisco, CA 94133	37.8002,-122.4091		DOC#179			4.0
180	San Francisco, CA 94133	37.8002,-122.4091		DOC#180			
181	San Francisco, CA 94133	37.8002,-122.4091		DOC#181			
182	San Francisco, CA 94133	37.8002,-122.4091	3.7	DOC#182	5.0		
183	Burlingame, CA 94010	37.5671,-122.3676		DOC#183	1.0	3.0	3.0
184	San Mateo, CA 94401	37.5735,-122.3225	4.5	DOC#184		5.0	4.0
185	San Mateo, CA 94401	37.5735,-122.3225	4.7	DOC#185		5.0	3.5
186	San Mateo, CA 94403	37.5395,-122.2998		DOC#186		5.0	2.0
187	San Mateo, CA 94401	37.5735,-122.3225		DOC#187		3.0	2.0
188	San Mateo, CA 94401	37.5735,-122.3225	4.3	DOC#188		5.0	4.0
189	San Mateo, CA 94402	37.5507,-122.3276		DOC#189	5.0	4.0	3.5
190	San Mateo, CA 94402	37.5507,-122.3276	4.3	DOC#190	2.0	5.0	4.0
191	San Mateo, CA 94402	37.5507,-122.3276	3.3	DOC#191			3.5
192	San Mateo, CA 94401	37.5735,-122.3225		DOC#192			
193	San Mateo, CA 94401	37.5735,-122.3225	2.8	DOC#193			4.0
194	San Mateo, CA 94401	37.5735,-122.3225		DOC#194	2.0	1.0	2.5
195	San Mateo, CA 94401	37.5735,-122.3225		DOC#195		5.0	4.0
196	San Mateo, CA 94401	37.5735,-122.3225	2.7	DOC#196	1.7	5.0	2.0
197	San Mateo, CA 94401	37.5735,-122.3225	2.3	DOC#197		5.0	3.0
198	San Mateo, CA 94401	37.5735,-122.3225	4.2	DOC#198	5.0	5.0	4.0
199	San Mateo, CA 94401	37.5735,-122.3225		DOC#199			
200	San Mateo, CA 94401	37.5735,-122.3225	4.8	DOC#200			
201	San Mateo, CA 94401	37.5735,-122.3225	4.2	DOC#201	1.6	2.0	3.5
202	San Mateo, CA 94401	37.5735,-122.3225		DOC#202			3.0
203	San Mateo, CA 94401	37.5735,-122.3225	4.7	DOC#203		5.0	4.0
204	San Mateo, CA 94401	37.5735,-122.3225	2.7	DOC#204			3.0
205	San Mateo, CA 94401	37.5735,-122.3225		DOC#205		5.0	
206	San Mateo, CA 94401	37.5735,-122.3225	3.7	DOC#206	4.0	4.0	3.5
207	San Mateo, CA 94401	37.5735,-122.3225		DOC#207			
208	San Mateo, CA 94401	37.5735,-122.3225		DOC#208		5.0	
209	San Mateo, CA 94401	37.5735,-122.3225		DOC#209			
210	San Mateo, CA 94401	37.5735,-122.3225		DOC#210			
211	San Mateo, CA 94401	37.5735,-122.3225		DOC#211			
212	San Mateo, CA 94401	37.5735,-122.3225	3.2	DOC#212	2.4	5.0	
213	San Mateo, CA 94401	37.5735,-122.3225	2.6	DOC#213	1.7	3.0	2.5
214	San Mateo, CA 94401	37.5735,-122.3225	4.4	DOC#214	3.0		2.0
215	San Mateo, CA 94401	37.5735,-122.3225		DOC#215		5.0	4.0
216	San Mateo, CA 94401	37.5735,-122.3225		DOC#216			
217	San Mateo, CA 94401	37.5735,-122.3225		DOC#217	1.3	4.0	2.5
218	San Mateo, CA 94401	37.5735,-122.3225		DOC#218	5.0	5.0	3.0
219	San Mateo, CA 94401	37.5735,-122.3225		DOC#219		3.0	4.0
220	San Mateo, CA 94401	37.5735,-122.3225		DOC#220			4.0
221	San Mateo, CA 94401	37.5735,-122.3225		DOC#221			4.0
222	San Mateo, CA 94401	37.5735,-122.3225		DOC#222			
223	San Mateo, CA 94401	37.5735,-122.3225	3.7	DOC#223			3.0
224	San Mateo, CA 94401	37.5735,-122.3225	3.8	DOC#224		5.0	3.0
225	San Mateo, CA 94401	37.5735,-122.3225	3.3	DOC#225	3.4	1.0	
226	San Mateo, CA 94401	37.5735,-122.3225		DOC#226			
227	San Mateo, CA 94401	37.5735,-122.3225		DOC#227			
228	San Mateo, CA 94401	37.5735,-122.3225		DOC#228	3.1	4.0	3.0
229	San Mateo, CA 94401	37.5735,-122.3225		DOC#229	5.0	5.0	4.0
230	San Mateo, CA 94401	37.5735,-122.3225	4.3	DOC#230	4.2	1.0	2.5
231	San Mateo, CA 94401	37.5735,-122.3225		DOC#231		5.0	
232	San Mateo, CA 94401	37.5735,-122.3225	4.8	DOC#232	3.3	3.0	
233	San Mateo, CA 94401	37.5735,-122.3225		DOC#233	5.0	5.0	4.0
234	San Mateo, CA 94401	37.5735,-122.3225		DOC#234			
235	San Mateo, CA 94401	37.5735,-122.3225		DOC#235			
236	San Mateo, CA 94401	37.5735,-122.3225		DOC#236			
237	San Mateo, CA 94401	37.5735,-122.3225	3.8	DOC#237		2.0	1.0
238	San Mateo, CA 94401	37.5735,-122.3225		DOC#238			
239	San Mateo, CA 94401	37.5735,-122.3225		DOC#239			
240	San Mateo, CA 94401	37.5735,-122.3225		DOC#240			
241	San Mateo, CA 94401	37.5735,-122.3225		DOC#241	3.5		3.0
242	Burlingame, CA 94010	37.5671,-122.3676		DOC#242	5.0		4.0
243	Burlingame, CA 94010	37.5671,-122.3676	4.6	DOC#243	4.7	4.0	
244	Burlingame, CA 94010	37.5671,-122.3676		DOC#244			3.5
245	Burlingame, CA 94010	37.5671,-122.3676		DOC#245		5.0	3.0
246	Burlingame, CA 94010	37.5671,-122.3676		DOC#246			4.0
247	Burlingame, CA 94010	37.5671,-122.3676	3.5	DOC#247	2.5	4.0	3.0
248	Burlingame, CA 94010	37.5671,-122.3676		DOC#248	3.7		
249	Burlingame, CA 94010	37.5671,-122.3676	3.7	DOC#249	2.4	3.0	2.5
250	Burlingame, CA 94010	37.5671,-122.3676		DOC#250	1.5		1.0
251	Burlingame, CA 94010	37.5671,-122.3676		DOC#251		4.0	3.0
252	Burlingame, CA 94010	37.5671,-122.3676		DOC#252			3.5
253	Burlingame, CA 94010	37.5671,-122.3676	3.4	DOC#253			
254	Burlingame, CA 94010	37.5671,-122.3676		DOC#254		1.0	4.0
255	Burlingame, CA 94010	37.5671,-122.3676	4.7	DOC#255		4.0	3.5
256	Burlingame, CA 94010	37.5671,-122.3676		DOC#256			2.5
257	Burlingame, CA 94010	37.5671,-122.3676		DOC#257	4.2		3.5
258	Burlingame, CA 94010	37.5671,-122.3676	3.3	DOC#258		5.0	
259	Burlingame, CA 94010	37.5671,-122.3676	4.4	DOC#259	3.0	4.0	
260	Burlingame, CA 94010	37.5671,-122.3676	3.8	DOC#260		1.0	1.0
261	Burlingame, CA 94010	37.5671,-122.3676		DOC#261		1.0	
262	Burlingame, CA 94010	37.5671,-122.3676		DOC#262			4.0
263	Burlingame, CA 94010	37.5671,-122.3676	4.2	DOC#263	4.9	4.0	3.0
264	Burlingame, CA 94010	37.5671,-122.3676	3.8	DOC#264	1.5	4.0	3.5
265	Burlingame, CA 94010	37.5671,-122.3676		DOC#265		5.0	
266	Burlingame, CA 94010	37.5671,-122.3676	3.7	DOC#266			4.0
267	Burlingame, CA 94010	37.5671,-122.3676		DOC#267		5.0	4.0
268	Burlingame, CA 94010	37.5671,-122.3676	3.9	DOC#268			4.0
269	Burlingame, CA 94010	37.5671,-122.3676	4.5	DOC#269		5.0	4.0
270	Burlingame, CA 94010	37.5671,-122.3676	4.9	DOC#270		5.0	4.0
271	Burlingame, CA 94010	37.5671,-122.3676		DOC#271	2.4	5.0	
272	Burlingame, CA 94010	37.5671,-122.3676	4.6	DOC#272	4.7	4.0	4.0
273	Burlingame, CA 94010	37.5671,-122.3676	3.9	DOC#273		5.0	4.0
274	Burlingame, CA 94010	37.5671,-122.3676	3.3	DOC#274	3.1	3.0	1.0
275	Burlingame, CA 94010	37.5671,-122.3676		DOC#275			
276	Burlingame, CA 94010	37.5671,-122.3676		DOC#276		1.0	1.0
277	Burlingame, CA 94010	37.5671,-122.3676	1.3	DOC#277	5.0	1.0	2.0
278	Burlingame, CA 94010	37.5671,-122.3676		DOC#278	2.2	1.0	
279	Burlingame, CA 94010	37.5671,-122.3676	3.3	DOC#279		5.0	4.0
280	San Francisco, CA 94128	37.6216,-122.3929		DOC#280			
281	San Francisco, CA 94128	37.6216,-122.3929		DOC#281		5.0	2.5
282	Burlingame, CA 94010	37.5671,-122.3676	3.7	DOC#282	4.2	5.0	4.0
283	San Mateo, CA 94403	37.5395,-122.2998	4.3	DOC#283		5.0	3.5
284	San Mateo, CA 94404	37.5538,-122.27		DOC#284			
285	San Mateo, CA 94403	37.5395,-122.2998	4.7	DOC#285		1.0	1.0
286	Mountain View, CA 94040	37.3855,-122.088	4.1	DOC#286	4.2		
287	Mountain View, CA 94040	37.3855,-122.088		DOC#287		5.0	4.0
288	Mountain View, CA 94040	37.3855,-122.088	3.8	DOC#288	5.0	3.0	2.5
289	Mountain View, CA 94041	37.3893,-122.0783	2.3	DOC#289		5.0	3.5
290	Mountain View, CA 94040	37.3855,-122.088		DOC#290	4.1	5.0	3.5
291	Mountain View, CA 94040	37.3855,-122.088		DOC#291			2.0
292	Mountain View, CA 94040	37.3855,-122.088		DOC#292		5.0	3.5
293	Mountain View, CA 94040	37.3855,-122.088		DOC#293			
294	Mountain View, CA 94040	37.3855,-122.088	4.2	DOC#294		5.0	4.0
295	Mountain View, CA 94040	37.3855,-122.088		DOC#295	5.0	5.0	4.0
296	Mountain View, CA 94040	37.3855,-122.088	4.4	DOC#296	3.7	3.0	3.0
297	Mountain View, CA 94040	37.3855,-122.088	4.5	DOC#297	4.3		
298	Mountain View, CA 94040	37.3855,-122.088		DOC#298			
299	Mountain View, CA 94040	37.3855,-122.088	4.5	DOC#299	5.0	5.0	4.0
300	Mountain View, CA 94040	37.3855,-122.088	3.5	DOC#300		5.0	2.5
301	Mountain View, CA 94040	37.3855,-122.088	3.9	DOC#301			
302	Mountain View, CA 94040	37.3855,-122.088	3.4	DOC#302	3.9	3.0	2.0
303	Mountain View, CA 94040	37.3855,-122.088	4.5	DOC#303	4.5	4.0	
304	Mountain View, CA 94040	37.3855,-122.088	3.4	DOC#304		3.0	3.0
305	Mountain View, CA 94040	37.3855,-122.088	4.8	DOC#305	4.4		
306	Mountain View, CA 94040	37.3855,-122.088		DOC#306		1.0	4.0
307	Mountain View, CA 94040	37.3855,-122.088		DOC#307		5.0	
308	Mountain View, CA 94040	37.3855,-122.088		DOC#308			
309	Mountain View, CA 94040	37.3855,-122.088		DOC#309			
